제목,작성일,조회수,분류,docid,mtgHmeDd,sno,mtgMtrRegSno,popup_url
Eculizumab 주사제(품명 솔리리스주) 및 Ravulizumab(품명 울토미리스주) 요양급여 대상여부,2023-05-31,64,공개사례,,,,,
암종별 항암요법 인정여부(6사례),2023-05-31,388,공개사례,,,,,
관절조영 인정여부(14사례),2023-05-31,280,공개사례,,,,,
조혈모세포이식 분과위원회 회의결과,2023-05-31,25,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-05-30,294,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-05-18,97,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-05-11,78,공개사례,,,,,
"[자동차보험] [23-4-A-6] 상병 및 진료내역 참조, 척추 MRI 인정여부 (3사례)",2023-05-10,470,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부,2023-04-28,47,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2023-04-28,53,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부,2023-04-28,38,공개사례,,,,,
"간암에서, 다발성 병변에 대한 국소치료(경동맥화학색전술(TACE, transarterial chemoembolization)) 후 전신 치료로 전환 투여한 항암요법(atezolizumab+bevacizumab) 인정 여부",2023-04-28,294,공개사례,,,,,
"검사결과 비교, 인공와우 요양급여 인정여부",2023-04-28,30,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2023-04-28,28,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여 대상여부,2023-04-28,25,공개사례,,,,,
암종별 항암요법 인정여부,2023-04-28,260,공개사례,,,,,
암종별 항암요법 인정여부,2023-04-28,506,공개사례,,,,,
유방암 고식적요법에서 taxane 투여이력 없이 시행한 gemcitabine 포함 항암요법 인정여부,2023-04-28,51,공개사례,,,,,
"조영제 미사용으로 시행된 바25라 척수신경총, 신경근 및 신경절차단술-선택적 신경근(LA354), 바25차 척수신경총, 신경근 및 신경절차단술-추간관절차단(LA359) 인정여부",2023-04-28,472,공개사례,,,,,
조혈모세포이식 요양급여/선별급여 대상여부,2023-04-28,30,공개사례,,,,,
통증조절을 위해 시행한 입원 인정여부,2023-04-28,106,공개사례,,,,,
[입원료심사사례지침 적용] 심의사례,2023-04-21,97,공개사례,,,,,
"[자동차보험] [23-3-B-3] 진료기록 및 입원환자 관리형태 등 참조, 입원 적정성 여부(2사례)",2023-04-10,230,공개사례,,,,,
"[자동차보험] [23-3-B-4] 상병 및 진료내역 참조, 일률적으로 시행한 한방 정신요법(이정변기요법) 인정여부(4사례)",2023-04-10,106,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부,2023-03-31,60,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2023-03-31,68,공개사례,,,,,
어지럼증 및 어지럼 상병 관련 입원 인정 여부,2023-03-31,180,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여 대상여부,2023-03-31,23,공개사례,,,,,
[척추한방] 외상 등의  사유로 시행한 입원 인정여부,2023-03-31,327,공개사례,,,,,
조혈모세포이식 요양급여/선별급여 대상여부,2023-03-31,29,공개사례,,,,,
[척추한방] 추간판장애 등 상병으로 통증조절을 위해 시행한 입원 인정여부,2023-03-31,141,공개사례,,,,,
[입원료심사사례지침 적용] 공개심의사례,2023-03-14,108,공개사례,,,,,
[입원료심사사례지침 적용] 공개심의사례,2023-03-14,146,공개사례,,,,,
"[자동차보험] [23-2-C-1] 환자상태 및 진료내역 참조, 의·한의과 협진기관에서 한의과 입원 후 연속적 의과 입원 인정여부(2사례)",2023-03-08,4027,공개사례,,,,,
"[자동차보험] [23-2-C-2] 경미상병 등에 진료내역 참조, 입원 인정여부(1사례)",2023-03-08,272,공개사례,,,,,
[척추한방] 통증조절을 위해 시행한 입원 인정여부(8사례),2023-02-28,83,공개사례,,,,,
[척추한방] 외상 등의 사유로 시행한 입원 인정여부(10사례),2023-02-28,612,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(3사례),2023-02-28,62,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여 대상여부(19사례),2023-02-28,33,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(37사례),2023-02-28,46,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(2사례),2023-02-28,43,공개사례,,,,,
스트렌식주 요양급여 대상 여부(2사례),2023-02-28,20,공개사례,,,,,
조혈모세포이식 요양급여/선별급여 대상여부(262사례),2023-02-28,24,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-02-23,86,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-02-09,91,공개사례,,,,,
‘내시경적 경안와 접근법(endoscopic transorbital approach)을 이용한 뇌종양절제술’의 수가산정방법,2023-01-27,143,공개사례,,,,,
외상 등의 사유로 시행한 입원 인정여부,2023-01-27,68,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2023-01-27,46,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상여부,2023-01-27,53,공개사례,,,,,
Eculizumab주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부,2023-01-27,66,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2023-01-27,42,공개사례,,,,,
통증조절을 위해 시행한 입원 인정여부,2023-01-27,52,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부,2023-01-27,26,공개사례,,,,,
"‘상·하지의 염좌 및 긴장, 근통’ 상병으로 통증조절을 위한 입원 인정여부(4사례)",2022-12-30,119,공개사례,,,,,
‘결장경하 종양수술-폴립절제술’실시 건의 입원료 적정성 인정여부(11사례),2022-12-30,96,공개사례,,,,,
추간판장애 등 상병으로 통증조절을 위해 비수술적 척추시술 시행 및 입원한 사례(11사례),2022-12-30,70,공개사례,,,,,
Eculizumab주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(6사례),2022-12-30,49,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(17사례),2022-12-30,33,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상여부 (37사례),2022-12-30,39,공개사례,,,,,
근골격계 상병에 실시한 관절조영 인정여부(29사례),2022-12-30,134,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부(387사례),2022-12-30,16,공개사례,,,,,
[입원료심사사례지침 적용]심의사례,2022-12-15,163,공개사례,,,,,
"""[입원료심사사례지침 적용] 공개심의사례""",2022-12-02,210,공개사례,,,,,
암 상병 환자의 장기입원 인정여부(11사례),2022-11-30,107,공개사례,,,,,
[척추한방] 외상 등 사유로 시행한 입원 인정여부(1사례),2022-11-30,56,공개사례,,,,,
[척추] 외상 등 사유로 시행한 입원 인정여부(68사례),2022-11-30,48,공개사례,,,,,
췌장 체부 및 미부의 악성종양 수술 시 동시 시행한 '자457가 부신절제술-편측' 인정여부(1사례),2022-11-30,58,공개사례,,,,,
충수염 상병에 '자267라 결장절제술-부분절제' 인정여부(1사례),2022-11-30,171,공개사례,,,,,
장문합술 없이 소장절제술 시행 및 장루조성술 시 수가산정방법(1사례),2022-11-30,43,공개사례,,,,,
"검사결과 비교, 인공와우이식술 및 치료재료 등 요양급여 인정여부(3사례)",2022-11-30,29,공개사례,,,,,
치매 등 상병에 치매와 증상 및 행동 평가 척도검사(너701)의 다종 및 반복 실시 인정여부(50사례),2022-11-30,68,공개사례,,,,,
Eculizumab주사제(품명 솔리리스주) 및 Ravulizumab(품명 울토미리스주) 요양급여 대상여부(44사례),2022-11-30,56,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(18사례),2022-11-30,25,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상여부(27사례),2022-11-30,30,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명졸겐스마주) 요양급여 대상여부(2사례),2022-11-30,40,공개사례,,,,,
‘어깨관절의 염좌 및 긴장’상병으로 통증조절을 위한 입원 인정여부(1사례),2022-11-30,41,공개사례,,,,,
‘발목의 염좌 및 긴장’ 등 상병으로 통증조절을 위한 입원 인정여부(7사례),2022-11-30,39,공개사례,,,,,
[척추] 외상 등 사유로 시행한 입원 인정여부(9사례),2022-11-30,19,공개사례,,,,,
[척추] 외상 후 요추의 염좌 및 긴장 등 상병으로 비수술적 척추 시술 시행 및 입원한 사례(9사례),2022-11-30,24,공개사례,,,,,
[척추] 추간판장애 등 상병으로 통증조절 위해 입원 인정여부(16사례),2022-11-30,23,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부(299사례),2022-11-30,18,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부(1사례),2022-11-30,21,공개사례,,,,,
외상 등 사유로 시행한 입원 인정여부,2022-10-31,83,공개사례,,,,,
통증조절을 위해 시행한 입원 인정여부,2022-10-31,65,공개사례,,,,,
GnRH agonist 주사제 인정여부,2022-10-31,134,공개사례,,,,,
Atosiban 주사제(품명 트랙토실주 등) 인정여부,2022-10-31,87,공개사례,,,,,
"진료내역 참조, 뇌전증 진단을 위한 전극 삽입술의 수가산정방법",2022-10-31,26,공개사례,,,,,
"진료내역 참조, 낭종 및 혈종 등 제거에 시행함 Ommaya reservoir 삽입 및 제거 수기료 산정방법",2022-10-31,36,공개사례,,,,,
"진료내역 참조, 동일 피부 절개(개두술) 하 시행한 종양절제술(2부위)의 수가산정방법",2022-10-31,35,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2022-10-31,33,공개사례,,,,,
Eculizumab주사제(품명 솔리리스주) 요양급여 대상여부,2022-10-31,51,공개사례,,,,,
Nusinersen sodium 주사제(품명 스핀라자주) 요양급여 대상여부,2022-10-31,44,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명 졸겐스마주) 요양급여 대상여부,2022-10-31,56,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2022-10-31,33,공개사례,,,,,
[척추한방] 통증조절을 위해 시행한 입원 인정여부,2022-10-31,46,공개사례,,,,,
[척추한방] 외상 등 사유로 시행한 입원 인정여부,2022-10-31,47,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부,2022-10-31,31,공개사례,,,,,
외상 등 사유로 시행한 입원 인정여부,2022-09-29,76,공개사례,,,,,
외상 등 사유로 시행한 입원 인정여부,2022-09-29,36,공개사례,,,,,
Eculizumab주사제(품명 솔리리스주) 및 Ravulizumab주사제(품명 울토미리스주) 요양급여 대상여부,2022-09-29,49,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2022-09-29,30,공개사례,,,,,
Nusinersen sodium 주사제(품명 스핀라자주) 요양급여 대상여부,2022-09-29,44,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명 졸겐스마주) 요양급여 대상여부,2022-09-29,55,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부,2022-09-29,36,공개사례,,,,,
심실보조장치치료술(VAD) 요양급여 대상여부,2022-08-31,48,공개사례,,,,,
Eculizumab 주사제(품명 솔리리스주) 요양급여 대상여부,2022-08-31,58,공개사례,,,,,
Nusinersen sodium 주세자(품명 스핀라자주) 요양급여 대상여부,2022-08-31,45,공개사례,,,,,
Asfotase alfa 주사제(품명 스트렌식주) 요양급여 대상여부,2022-08-31,26,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부,2022-08-31,41,공개사례,,,,,
"[자동차보험] [22-6-B-7] 경미상병 등에 진료내역 참조, 입원 인정여부(5사례)",2022-08-25,439,공개사례,,,,,
"[자동차보험] [22-1-B-8] 진료공백 등 진료내역 참조, 자동차사고와의 인과관계 인정여부(3사례)",2022-08-25,363,공개사례,,,,,
"[자동차보험] [22-5-A-6] 상병 및 진료내역 참조, 척추 MRI 표준영상 범위 외 추가로 촬영한 맥동파순서열 인정여부(2사례)",2022-08-10,219,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여 대상여부,2022-07-29,61,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상여부,2022-07-29,71,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab 주사제(품명: 울토미리스주) 요양급여    대상여부(57사례),2022-07-29,107,공개사례,,,,,
Teriparatide acetate 주사제(품명: 테리본피하주사) 투여 후 Romosozumab 주사제(품명: 이베니티주프리필드시린지) 투여에 대한 요양급여 인정여부,2022-07-29,106,공개사례,,,,,
통증조절을 위해 시행한 입원 인정여부,2022-07-29,82,공개사례,,,,,
척추협착(요추부) 등 상병에 3술 동시 시행인정여부(한방병원5사례) 등,2022-07-29,166,공개사례,,,,,
팔꿈치골절 수술 시 동시 산정한 척골신경 유리술의 인정여부,2022-07-29,71,공개사례,,,,,
통증조절을 위해 시행한 입원 인정여부,2022-07-29,62,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2022-07-29,36,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2022-07-29,36,공개사례,,,,,
Eculizumab 주사제(품명 솔리리스주) 요양급여 대상여부,2022-06-30,71,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2022-06-30,41,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2022-06-30,39,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2022-06-30,26,공개사례,,,,,
"진료내역 참조, 미분류된 수술 행위에 대한 수가산정방법 : 자485가 무탐침정위기법(기본) 하에 시행한 생검 흡인 병소절제 혈종제거의 수가산정방법",2022-06-30,41,공개사례,,,,,
"진료내역 참조, 2가지 이상 수술을 동시에 시행한 경우 제 2의 수술 인정여부 및 수가산정방법",2022-06-30,99,공개사례,,,,,
외상 등 사유로 시행한 입원 인정여부,2022-06-29,84,공개사례,,,,,
"[자동차보험] [22-3-B-5] 상병 및 진료내역 참조, 추나요법과 동시 시행한 약침술 인정여부(5사례)",2022-06-22,1248,공개사례,,,,,
"[자동차보험] [22-4-B-4] 추간판장애 등 상병에 환자상태 및 진료내역 참조, 장기입원 인정여부(4사례)",2022-06-10,292,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상여부,2022-05-30,75,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주)  요양급여 대상여부,2022-05-30,119,공개사례,,,,,
자궁경부 협착에 단독으로 자궁경관개대술 시행시 ‘자364 요도확장술’ 요양급여 인정여부,2022-05-30,86,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2022-05-30,39,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부,2022-05-30,310,공개사례,,,,,
치매 등 상병에 너701 척도검사 다종 실시 인정여부,2022-05-30,545,공개사례,,,,,
통증조절을 위해 시행한 입원 인정여부,2022-05-30,116,공개사례,,,,,
외상 등 사유로 시행한 입원(12~37일) 인정여부,2022-04-29,273,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상여부,2022-04-29,109,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2022-04-29,41,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부,2022-04-29,68,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 요양급여 대상여부,2022-04-29,185,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2022-04-29,39,공개사례,,,,,
"[자동차보험] [22-2-B-2] 경미상병에 진료내역 참조, 지연입원 인정여부(3사례)",2022-04-14,237,공개사례,,,,,
"[자동차보험] [22-2-B-3] 진료기록부 및 입원환자 관리형태 등 참조, 입원 적정성 여부(3사례)",2022-04-14,171,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상여부,2022-03-31,80,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부,2022-03-31,105,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2022-03-31,51,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부,2022-03-31,111,공개사례,,,,,
갑상선암에 대한 수술적치료 중 아전절제술 의학적 타당성 여부 및 심사적용방법,2022-03-31,97,공개사례,,,,,
경부림프절청소술 의학적 타당성 여부 및 심사적용방법,2022-03-31,116,공개사례,,,,,
암환자의 반복입원(2~15일) 사례 인정여부,2022-03-31,422,공개사례,,,,,
명치통증 상병에 시행한 중장기입원(15일) 사례 인정여부,2022-03-31,98,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2022-02-28,92,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부,2022-02-28,36,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부,2022-02-28,91,공개사례,,,,,
스트렌식주 요양급여 대상 여부,2022-02-28,30,공개사례,,,,,
간암의심 등에 촬영한 F-18 FDG 양전자방출단층촬영(F-18 FDG-PET)의 인정여부,2022-01-28,156,공개사례,,,,,
'경비적 뇌하수체 종양적출술'에 사용한 비강 내 부목(Internal Nasal Splint) 인정여부,2022-01-28,95,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부,2022-01-28,102,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여 대상 여부,2022-01-28,38,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2022-01-28,57,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2022-01-28,34,공개사례,,,,,
[자동차보험] [22-1-C-1] 동일 날 동일(유사)상병에 대하여 외래에서 실시한 의·한의과 협진 인정여부(4사례),2022-01-28,393,공개사례,,,,,
외상 등 사유로 시행한 중장기입원(9~15일) 인정여부(2사례),2022-01-28,52,공개사례,,,,,
통증조절을 위해 시행한 중장기입원(14~15일) 인정여부(4사례),2022-01-28,62,공개사례,,,,,
외상 등 사유로 시행한 단기입원(2~5일) 사례 인정여부(4사례),2022-01-28,59,공개사례,,,,,
통증조절을 위해 시행한 중장기입원(14~15일) 사례 인정여부(12사례),2022-01-28,48,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-12-31,179,공개사례,,,,,
<심실 보조장치 치료술(VAD) 요양급여 대상 여부>,2021-12-31,115,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab 주사제(품명: 울토미리스주) 요양급여 대상여부,2021-12-31,134,공개사례,,,,,
<조혈모세포이식 요양급여 및 선별급여 대상 여부>,2021-12-31,111,공개사례,,,,,
신경차단술 등 처치를 시행한 단기입원(2~4일) 사례 인정여부(2사례),2021-12-31,194,공개사례,,,,,
외상 등 사유로 시행한 단기입원(2~5일) 사례 인정여부(3사례),2021-12-31,105,공개사례,,,,,
통증조절을 위해 시행한 단기입원(2~4일) 사례 인정여부(4사례),2021-12-31,133,공개사례,,,,,
경피적경막외강신경성형술(PEN) 처치를 시행한 단기입원(2~4일) 사례 인정여부(18사례),2021-12-31,766,공개사례,,,,,
신경차단술 등 처치를 시행한 단기입원(2~4일) 사례 인정여부(15사례),2021-12-31,89,공개사례,,,,,
중장기입원(13일) 사례 인정여부(1사례),2021-12-31,41,공개사례,,,,,
장기입원(27~40일) 사례 인정여부(4사례),2021-12-31,88,공개사례,,,,,
"[자동차보험] [21-3-B-4] 경미상병에 진료내역 참조, 입원 적정성 여부(5사례)",2021-12-24,279,공개사례,,,,,
"[자동차보험] [21-3-B-5] 한방수기요법(추나요법, 도인운동요법)과 동시 시행한 견인치료 인정여부(5사례)",2021-12-24,308,공개사례,,,,,
요추의 염좌 및 긴장 등 상병에 실시한 입원 인정여부(5사례),2021-11-30,272,공개사례,,,,,
신경뿌리병증을 동반한 요추 및 기타 추간판 장애 등 상병에 실시한 입원 인정여부(2사례),2021-11-30,181,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부(10사례),2021-11-30,139,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab 주사제(품명: 울토미리스주) 요양급여 대상여부(53사례),2021-11-30,171,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(28사례),2021-11-30,96,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부(295사례),2021-11-30,53,공개사례,,,,,
신경뿌리병증을 동반한 요추 및 기타 추간판장애 등 상병에 실시한 입원 인정여부(2사례),2021-11-30,40,공개사례,,,,,
[자동차보험] [21-2-B-3] 자동차보험 환자에게 실시한 경락기능검사 인정여부(8사례),2021-11-15,194,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부(11사례),2021-10-27,219,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(4사례),2021-10-27,218,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부(382사례),2021-10-27,139,공개사례,,,,,
면역관용요법 요양급여 대상 여부(14사례),2021-10-27,141,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(45사례),2021-10-27,134,공개사례,,,,,
<심실 보조장치 치료술(VAD) 요양급여 대상 여부>,2021-10-05,118,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab 주사제(품명: 울토미리스주) 요양급여 대상여부,2021-10-05,119,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-10-05,90,공개사례,,,,,
<조혈모세포이식 요양급여 및 선별급여 대상 여부>,2021-10-05,104,공개사례,,,,,
<면역관용요법 요양급여 대상 여부>,2021-10-05,95,공개사례,,,,,
진료내역 참조 입원료 인정여부(8사례),2021-10-05,96,공개사례,,,,,
척추부위에 발생한 혈종 제거술에 대한 수가적용방법(3사례),2021-08-27,429,공개사례,,,,,
척추부위의 경막외 농양 제거술에 대한 수가적용방법 (3사례),2021-08-27,213,공개사례,,,,,
척추수술 후 재감압(내시경하 수술 포함) 시 수가적용방법 (1사례),2021-08-27,265,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부(13사례),2021-08-27,140,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab 주사제(품명: 울토미리스주) 요양급여 대상여부(44사례),2021-08-27,186,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(37사례),2021-08-27,70,공개사례,,,,,
스트렌식주 요양급여 대상 여부(2사례),2021-08-27,23,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부(347사례),2021-08-27,40,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab 주사제(품명: 울토미리스주) 요양급여 대상여부,2021-07-30,306,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부,2021-07-30,131,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-07-30,147,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2021-07-30,133,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상 여부,2021-07-30,123,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-06-30,245,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부,2021-06-30,122,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 요양급여 대상여부,2021-06-30,157,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2021-06-30,127,공개사례,,,,,
유전자 제8인자 결핍 상병에 투여한 헴리브라주 요양급여 인정여부(4사례),2021-06-30,188,공개사례,,,,,
[자동차보험] [21-1-A-1] 수상초 시행 및 다빈도 실시한 레이저 반흔성형술의 인정여부(3사례),2021-06-22,916,공개사례,,,,,
[자동차보험] [21-1-A-2] 전신다발성 반흔에 부위와 시행날짜를 달리하여 실시한 레이저  반흔성형술의 인정여부(2사례),2021-06-22,163,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-05-31,241,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여 대상 여부,2021-05-31,126,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2021-05-31,124,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 요양급여 대상여부,2021-05-31,160,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 요양급여 대상여부,2021-04-30,346,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부,2021-04-30,121,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-04-30,132,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상 여부,2021-04-30,115,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2021-04-30,127,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-03-31,249,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상 여부,2021-03-31,128,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2021-03-31,136,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 요양급여 대상여부,2021-03-31,158,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-02-26,340,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여 대상 여부,2021-02-26,130,공개사례,,,,,
Asfotase alfa 주사제(품명: 스트렌식주) 요양급여 대상 여부,2021-02-26,126,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2021-02-26,138,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 요양급여 대상여부,2021-02-26,156,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2021-01-29,233,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여대상 인정여부,2021-01-29,114,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2021-01-29,122,공개사례,,,,,
조혈모세포이식 대상자 승인 여부,2021-01-29,127,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 요양급여 대상여부,2021-01-29,150,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 요양급여 대상여부,2020-12-31,244,공개사례,,,,,
소아에서 요도하열성형술과 동시에 시행한 음경음낭전위교정술 및 음경성형술 인정여부(2사례),2020-12-31,216,공개사례,,,,,
"소아에서 동시에 시행한 고환고정술, 서혜부허니아근본수술 및 음경성형술 인정여부(1사례)",2020-12-31,243,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2020-12-31,129,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여대상 인정여부,2020-12-31,112,공개사례,,,,,
